index;OID;Longitude;Latitude;latitude;longitude;parent_name;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks;diff_to_basecase;annual difference;geometry
2;CID105;-8.418212;40.289074;40.289074;-8.418212;InterCement Participacoes SA;LINESTRING (-8.418211983652565 40.28907401608227, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID2', 'PIPEID3'];118.674447313385;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;1500000.0000672005;52288846.07274177;3576118.533923346;35235389.04151788;29.343318120452825;573750.000025704;361674.27808861085;1282512.000057457;930433.3161498412;0.7254772790493635;9.081125081148446;38.42444320160127;32.37439797723821;339973.8214032941;61.94604578809169;70.79884117883948;114.13849862176936;0.7254772790493635;1.0;0.3758593207775436;0.8120703396112282;2.08800984136154;3.1;POINT (-8.418212 40.289074)
1;CID94;-6.073448;36.618249;36.618249;-6.073448;LafargeHolcim Ltd;LINESTRING (-6.073447983937021 36.61824901758658, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID1', 'PIPEID6'];149.38039699456206;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;2102400.0;73288046.65227154;5012287.736922411;50148006.576226965;29.705801614482517;804167.9999999999;522554.16357744567;1797568.8192000005;1304095.3358571937;0.7254772790493635;7.654807997628474;37.36060961211099;33.37269670378417;491200.9137627988;60.23098426072703;70.73330631589516;114.03284645657428;0.1910757956746828;0.2624957137119809;0.2624957137119809;0.1312478568559904;-0.033773332090206054;-0.1;POINT (-6.073448 36.618249)
4;CID97;-0.246962;39.663613;39.663613;-0.246962;LafargeHolcim Ltd;LINESTRING (-0.2469619872262426 39.66361301341817, -3.901135985689296 40.00993501449773, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID4', 'PIPEID2', 'PIPEID6'];791.5158487746854;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;879999.9999599999;30676123.026573166;2097989.5397123424;21487292.038061835;30.27043607758252;336599.99998469994;227233.33452455723;752407.0399657997;545854.212091974;0.7254772790493634;16.286610893621017;46.55704697120353;34.670867350660295;213599.3344530837;75.05703981980729;81.22791432186384;130.95175051602772;0.2710542489595373;0.3735377218338365;0.1110420081218555;0.3180167177729087;3.1503044763377943;2.8;POINT (-0.246962 39.663613)
0;CID93;-1.904785;36.966885;36.966885;-1.904785;LafargeHolcim Ltd;LINESTRING (-1.904784985939916 36.96688501570312, -6.073447983937021 36.61824901758658, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID0', 'PIPEID1', 'PIPEID6'];527.7955928587802;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1389999.9999408;48454330.68983961;3313869.8411460347;33164385.398929983;29.712328832682093;531674.9999773559;351352.7501867412;1188461.1199493837;862201.5395568381;0.7254772790493635;18.486914250347997;48.19924308303008;33.93937918867108;330271.58517553663;77.70450968690464;82.13862227170117;132.41995022588975;0.3973838513075669;0.5478928367766973;0.1743551149428608;0.4607152793052669;-3.2118946963862243;-4.5;POINT (-1.904785 36.966885)
2;CID95;-3.901136;40.009935;40.009935;-3.901136;LafargeHolcim Ltd;LINESTRING (-3.901135985689296 40.00993501449773, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID2', 'PIPEID6'];471.7137518292082;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;38941163.32477516;35.807799780362174;497249.999986536;342006.9355543387;1111510.399969904;806375.5406052356;0.7254772790493634;11.08399319311619;46.89179297347836;35.323757763656154;321486.51942107826;75.59670128153623;82.21555073713452;132.54397061096444;0.5155338391169095;0.7128009718423939;0.1649081350656965;0.6303469043095455;-1.0420166458327884;-1.4;POINT (-3.901136 40.009935)
3;CID96;2.183652;41.474698;41.474698;2.183652;LafargeHolcim Ltd;LINESTRING (2.183652011413684 41.47469801155553, -0.2469619872262426 39.66361301341817, -3.901135985689296 40.00993501449773, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID3', 'PIPEID4', 'PIPEID2', 'PIPEID6'];1085.6598614396455;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1.0;2310000.000552;80524822.96765709;5507222.54331124;59170673.10223097;31.46806875533808;883575.0002111399;565301.2740128029;1975068.4804719647;1432867.3071489618;0.7254772790493634;21.352967302241836;52.82103605757992;32.85816614117898;531383.1975720346;85.15554281502068;85.6792021987589;138.12790349738378;0.7254772790493635;1.0;0.2871990281576061;0.8564004859211969;6.937824865359403;16.0;POINT (2.183652 41.474698)
2;CID108;-8.935936;38.501466;38.501466;-8.935936;Secil Companhia Geral de Cal e Cimento SA;LINESTRING (-8.935935982999197 38.50146601752661, -9.230709259891642 38.65399113754908, -8.951758439954242 38.34034366764466);['PIPEID2', 'PIPEID4'];73.45401733259877;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;30026773.968849115;28.95057719869493;497249.999986536;315990.9808288322;1111510.399969904;806375.5406052356;0.7254772790493634;8.908525103448628;37.85910230214356;32.6367324808954;297031.5219791023;61.03463028468554;70.49583478303896;113.6500062324363;0.2405919548312795;0.331132076537019;0.331132076537019;0.1655660382685095;1.0296692428647702;1.3;POINT (-8.935936 38.501466)
0;CID106;-8.905132;39.685773;39.685773;-8.905132;Secil Companhia Geral de Cal e Cimento SA;LINESTRING (-8.905131983284637 39.68577301669793, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID0', 'PIPEID3'];184.8797666208644;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;619999.999932;21612723.040061247;1478128.993793312;15265495.238348236;30.47482527665863;237149.99997398996;150879.3192689133;530104.9599418595;384579.103949192;0.7254772790493634;8.772114452886326;39.24693972954496;32.67483201465589;141826.5601127785;63.2720352712242;71.92177174420084;115.94883346133376;0.3553358102028733;0.489106233629534;0.157974157092515;0.4101191550832764;0.5777618760442635;0.4;POINT (-8.905132 39.685773)
1;CID107;-8.987387;39.655677;39.655677;-8.987387;Secil Companhia Geral de Cal e Cimento SA;LINESTRING (-8.987386983238295 39.65567701675344, -8.905131983284637 39.68577301669793, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID1', 'PIPEID0', 'PIPEID3'];192.7114569188099;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1999999.999272;69718461.40182143;4768158.043281904;49140976.7767526;30.423547157813235;764999.9997215399;491314.8564694901;1710015.9993775545;1240577.7543593063;0.7254772790493635;8.927885018475674;39.35143217628891;32.98414553981287;461835.9650813207;63.44049298592808;72.33557771610178;116.61595161704184;0.7254772790493633;1.0;0.510893766370466;0.744553116814767;0.5777618760443062;1.2;POINT (-8.987387 39.655677)
0;CID102;2.054826;41.402821;41.402821;2.054826;;;;;CALCINED_CLAY_CEMENT;1;1;LL;1.0;1299999.9999648002;11810440.827322502;1490987.8924192383;10227256.89693772;9.918114158632095;0.0;694398.4808224594;1111510.399969904;429922.4831154287;0.3867912375152491;0.0;9.918114158632095;71.72007692845813;652734.5719731118;29.990402717344875;81.63819108709022;246.85763731469976;0.3867912375152491;1.0;1.0;0.5;3.226758243473384;4.2;POINT (2.054826 41.402821)
2;CID100;-7.450123;42.717483;42.717483;-7.450123;Votorantim SA;LINESTRING (-7.450122984627811 42.71748301407421, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID2', 'PIPEID4'];225.60374447660269;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;1369999.9999655995;47757146.07643213;3266188.2607549843;32518152.070087586;29.58893618451087;524024.9999868418;326611.73754190194;1171360.9599705876;849795.7620241123;0.7254772790493634;10.52205852054465;40.11099470505552;32.010065136889835;307015.03328938776;64.66502329178127;72.12105984194535;116.2701161813756;0.2151307082898275;0.2943900454584873;0.2943900454584873;0.1471950227292436;3.9158244602175074;5.4;POINT (-7.450123 42.717483)
1;CID99;-6.672312;37.359766;37.359766;-6.672312;Votorantim SA;LINESTRING (-6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID1', 'PIPEID5'];88.41581921011414;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;30999431.63594457;29.698775404173222;497249.999986536;323098.5719932713;1111510.399969904;806375.5406052356;0.7254772790493634;9.394527280149816;39.09330268432304;33.37083112766352;303712.657673675;63.02434899017311;72.46413381198656;116.8232035936088;0.4192693365936419;0.5768899291717051;0.2824998837132177;0.4356399873150962;3.1380510581238212;4.1;POINT (-6.672312 37.359766)
3;CID101;-6.768733;42.553519;42.553519;-6.768733;Votorantim SA;LINESTRING (-6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID3', 'PIPEID2', 'PIPEID4'];284.6656444380675;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1.0;969999.999936;33813453.78996051;2312556.6516809133;23442350.38380276;30.020430291781388;371024.99997552;232078.3274884997;829357.7599452797;601680.2110435767;0.7254772790493635;12.027634586421454;42.04806487820285;32.124634024994705;218153.6278391897;67.78787498831619;74.17269890319756;119.5776703484499;0.5715881592451778;0.7855246705441667;0.2086347413724616;0.6812072998579359;3.915824460218573;3.8;POINT (-6.768733 42.553519)
0;CID98;-4.764202;37.902032;37.902032;-4.764202;Votorantim SA;LINESTRING (-4.764201984840505 37.90203201620048, -6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID0', 'PIPEID1', 'PIPEID5'];268.6897384615442;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;980000.0000112;34162046.099717915;2336397.442085284;25347821.532781698;31.718182773240223;374850.000004284;249895.13968723256;837907.8400095762;607883.0998642767;0.7254772790493634;13.943133876226316;45.66131664946654;34.23789618319421;234901.43130599856;73.61298632414623;79.89921283266075;128.80968165488542;0.7254772790493634;1.0;0.2144753294558332;0.8927623352720834;3.8771487453529545;3.8;POINT (-4.764202 37.902032)
