PORT_NAME;VID;Latitude;Longitude;geometry
San Francisco Bay, Anchorage Number 8A;PID194;37.782994117;-122.363638826304;POINT (37.782994117 -122.363638826304)
Tangshan Gang;PID195;38.991341474;119.06712856620985;POINT (38.991341474 119.0671285662098)
Outer Roads of Port Klaipeda;PID196;55.657930313;20.96912668708686;POINT (55.657930313 20.96912668708686)
Tianjin Gang;PID197;38.7678837495;118.0942029595;POINT (38.7678837495 118.0942029595)
;PID198;30.2360432495;-88.48697626536406;POINT (30.2360432495 -88.48697626536406)
;PID199;30.1869756305;-88.50197315055253;POINT (30.1869756305 -88.50197315055253)
Port of London Authority;PID200;51.4396723305;1.1025441435;POINT (51.4396723305 1.1025441435)
Port of London Authority;PID201;51.692436751;1.252353464043213;POINT (51.692436751 1.252353464043213)
Izmir Liman;PID202;38.675322602;26.547129509932702;POINT (38.675322602 26.5471295099327)
Foça Liman;PID203;38.6922540465;26.69164992674483;POINT (38.6922540465 26.69164992674483)
Tekirdag Port;PID204;40.6028829325;27.2083528776008;POINT (40.6028829325 27.2083528776008)
Gelibolu Harbour;PID205;40.4720492285;26.870306538563035;POINT (40.4720492285 26.87030653856304)
Marmara Adasi Harbour;PID206;40.456983502;27.474136693578576;POINT (40.456983502 27.47413669357858)
;PID207;26.230548961;127.6278348845;POINT (26.230548961 127.6278348845)
;PID208;35.9587848435;126.38335114927013;POINT (35.9587848435 126.3833511492701)
Kolkata Port;PID209;21.7431492215;87.95349026775187;POINT (21.7431492215 87.95349026775187)
Porto de Maputo;PID210;-25.970555506;32.891656905000005;POINT (-25.970555506 32.891656905)
3;PID211;-10.802122433;-77.76575632701181;POINT (-10.802122433 -77.76575632701181)
Port of Lucinda;PID212;-18.5175860995;146.43142871714522;POINT (-18.5175860995 146.4314287171452)
Port of Carnarvon;PID213;-24.580881977;113.35764655895588;POINT (-24.580881977 113.3576465589559)
Port of Carnarvon;PID214;-25.4999930315;113.48906725185374;POINT (-25.4999930315 113.4890672518537)
4;PID215;-13.775965897;-76.2969433325;POINT (-13.775965897 -76.29694333250001)
8;PID216;-13.762506698;-76.30444052600001;POINT (-13.762506698 -76.30444052600001)
Port Pirie;PID217;-33.0314068675;137.9025527776676;POINT (-33.0314068675 137.9025527776676)
Port Lincoln Harbor;PID218;-34.7062885245;136.025408527;POINT (-34.7062885245 136.025408527)
Port of Port Lincoln;PID219;-34.6569623235;136.00729316108664;POINT (-34.6569623235 136.0072931610866)
Aberdeen Harbour Board;PID220;57.112778043;-2.028590501301319;POINT (57.112778043 -2.028590501301319)
;PID221;-45.809756219387054;-67.31254803948104;POINT (-45.80975621938705 -67.31254803948104)
UGLEGORSK;PID222;49.076909045;142.00770558588982;POINT (49.076909045 142.0077055858898)
Istanbul Port;PID223;41.495800581;28.56892392318116;POINT (41.495800581 28.56892392318116)
Cesme Harbour;PID224;38.175228;26.270865697512896;POINT (38.175228 26.2708656975129)
Izmir Harbour;PID225;38.691519532;26.371811286659263;POINT (38.691519532 26.37181128665926)
Çesme Harbour;PID226;38.0875918915;26.58038907709165;POINT (38.0875918915 26.58038907709165)
Finike Liman;PID227;36.153301815;30.156250004;POINT (36.153301815 30.156250004)
Kas Liman;PID228;36.0331395635;29.62768624825;POINT (36.0331395635 29.62768624825)
Samsun Harbour;PID229;41.3549263955;36.9867445782895;POINT (41.3549263955 36.9867445782895)
Iskenderun Harbour;PID230;36.127655957;35.766454477072074;POINT (36.127655957 35.76645447707207)
Mersin Harbour;PID231;36.235071304;35.5330183025;POINT (36.235071304 35.5330183025)
Tuzla Harbour;PID232;40.7370946365;29.19494193075;POINT (40.7370946365 29.19494193075)
Yalova Harbour;PID233;40.637630908000006;28.8495987645;POINT (40.63763090800001 28.8495987645)
Ambarli Limani;PID234;40.759357493;28.661559084980848;POINT (40.759357493 28.66155908498085)
Marmara Adasi Harbour;PID235;40.7036100645;27.709976052752577;POINT (40.7036100645 27.70997605275258)
Tekirdag Liman;PID236;40.731369084;27.984844047314542;POINT (40.731369084 27.98484404731454)
Silivri Harbour;PID237;40.7561484625;28.28897674275;POINT (40.7561484625 28.28897674275)
Bandirma Harbour;PID238;40.6252867115;28.167632913365686;POINT (40.6252867115 28.16763291336569)
Mudanya Harbour;PID239;40.595846199;28.5246719835;POINT (40.595846199 28.5246719835)
Ambarli Harbour;PID240;40.751668745;28.4994333605;POINT (40.751668745 28.4994333605)
Cide Harbour;PID241;42.0359076645;33.06167617918186;POINT (42.0359076645 33.06167617918186)
Amasra Harbour;PID242;41.9213552535;32.59003148872536;POINT (41.9213552535 32.59003148872536)
Inebolu Harbour;PID243;42.136667864;33.54664774149648;POINT (42.136667864 33.54664774149648)
Sinop Harbour;PID244;42.105712909;34.89522496492642;POINT (42.105712909 34.89522496492642)
Ayancik Harbour;PID245;42.0857680865;34.50953177125;POINT (42.0857680865 34.50953177125)
Inebolu Harbour;PID246;42.029324979;34.067425941;POINT (42.029324979 34.067425941)
Sinop Harbour;PID247;42.0450956555;35.39746106356922;POINT (42.0450956555 35.39746106356922)
Samsun Harbour;PID248;41.788274142;35.724070504500006;POINT (41.788274142 35.72407050450001)
Datça Harbour;PID249;36.832278007;27.717565493;POINT (36.832278007 27.717565493)
Marmaris Harbour;PID250;36.578604737;28.15154339451301;POINT (36.578604737 28.15154339451301)
Kas Harbour;PID251;36.158797452;29.339626617;POINT (36.158797452 29.339626617)
Fethiye Harbour;PID252;36.197461453;29.19299986772893;POINT (36.197461453 29.19299986772893)
Antalya Harbour;PID253;36.651099896000005;30.935666877000003;POINT (36.65109989600001 30.935666877)
Antalya Harbour;PID254;36.730321878;31.086489753;POINT (36.730321878 31.086489753)
Alanya Liman;PID255;36.0159857475;32.560133517389446;POINT (36.0159857475 32.56013351738945)
Anamur Liman;PID256;36.016259374499995;32.56513569860296;POINT (36.0162593745 32.56513569860296)
Tasucu Harbour;PID257;36.304672029;34.08711111375;POINT (36.304672029 34.08711111375)
Gökçeada Harbour;PID258;39.991649868500005;25.80568037176485;POINT (39.99164986850001 25.80568037176485)
Bozcaada Harbour;PID259;39.929529071000005;25.8259884635;POINT (39.929529071 25.8259884635)
Izmir Liman;PID260;38.73283348;26.37180426653352;POINT (38.73283348 26.37180426653352)
Çesme Liman;PID261;38.7419989655;26.328729844124943;POINT (38.7419989655 26.32872984412494)
Güllük Harbour;PID262;37.2518883175;27.24390107219089;POINT (37.2518883175 27.24390107219089)
Karasu Liman;PID263;41.2339138;30.76579970697601;POINT (41.2339138 30.76579970697601)
Karadeniz Eregli Liman;PID264;41.4909409215;31.48211623275;POINT (41.4909409215 31.48211623275)
Zonguldak Liman;PID265;41.5882008375;31.84590550616445;POINT (41.5882008375 31.84590550616445)
Samsun Harbour;PID266;41.6022327305;36.26225464037008;POINT (41.6022327305 36.26225464037008)
Vakfikebir Harbour;PID267;41.199279064;39.29606238981586;POINT (41.199279064 39.29606238981586)
Mersin Harbour;PID268;36.0375105165;33.29639483653277;POINT (36.0375105165 33.29639483653277)
D;PID269;32.8942753275;35.00081710208279;POINT (32.8942753275 35.00081710208279)
Kefken Liman;PID270;41.2977255225;30.12590049997625;POINT (41.2977255225 30.12590049997625)
C;PID271;32.908098008;35.011850691984634;POINT (32.908098008 35.01185069198463)
Botas Harbour;PID272;36.6219695605;35.75705797842413;POINT (36.6219695605 35.75705797842413)
Karatas Harbour;PID273;36.480309152;35.445160502763265;POINT (36.480309152 35.44516050276327)
;PID274;42.9723413005;144.27382831900002;POINT (42.9723413005 144.273828319)
;PID275;21.569425854;89.50023582024608;POINT (21.569425854 89.50023582024608)
Marlborough Harbour;PID276;-41.4323007495;174.11041478492564;POINT (-41.4323007495 174.1104147849256)
Marlborough Harbour;PID277;-41.466939593;174.23536774907558;POINT (-41.466939593 174.2353677490756)
Port Arkhangel'sk;PID278;65.054823495;40.07244381953622;POINT (65.05482349499999 40.07244381953622)
Lianyungang Gang;PID279;34.8721305135;119.92488383459992;POINT (34.8721305135 119.9248838345999)
;PID280;25.1889933685;121.72018147725;POINT (25.1889933685 121.72018147725)
Sharm el Sheikh Port;PID281;27.8583378385;34.34187318249195;POINT (27.8583378385 34.34187318249195)
Port of Mumbai;PID282;18.6430415645;72.7326294075;POINT (18.6430415645 72.7326294075)
Gangavaram Port;PID283;17.4411778615;83.22096386064027;POINT (17.4411778615 83.22096386064027)
Port Of Rabaul;PID284;-4.288795845999999;152.18306060815712;POINT (-4.288795845999999 152.1830606081571)
Port of Daru;PID285;-9.1062584005;143.44520194175;POINT (-9.1062584005 143.44520194175)
Port of Cape Preston;PID286;-20.7361295625;116.17045228775;POINT (-20.7361295625 116.17045228775)
;PID287;21.685414798;72.38899342225;POINT (21.685414798 72.38899342225)
Port of Geraldton;PID288;-28.7079571745;114.50162478832966;POINT (-28.7079571745 114.5016247883297)
;PID289;5.6393904280000005;115.74556946590998;POINT (5.639390428 115.74556946591)
Pelabuhan Surabaya;PID290;-6.748104994;112.74708607817324;POINT (-6.748104994 112.7470860781732)
Istanbul;PID291;41.481810017;29.083083006;POINT (41.481810017 29.083083006)
;PID292;-20.0949751165;118.5916753828572;POINT (-20.0949751165 118.5916753828572)
;PID293;7.2495274495;100.62744456233212;POINT (7.2495274495 100.6274445623321)
;PID294;-20.0949790555;118.5116667065;POINT (-20.0949790555 118.5116667065)
Port of Port Latta;PID295;-40.8269708505;145.43216145213472;POINT (-40.8269708505 145.4321614521347)
Port of Townsville;PID296;-19.19539498630911;146.869299117195;POINT (-19.19539498630911 146.869299117195)
Halifax Harbour;PID297;44.647063496522605;-63.559111513094095;POINT (44.64706349652261 -63.55911151309409)
ST JOHN'S;PID298;47.56277360022068;-52.70217804899115;POINT (47.56277360022068 -52.70217804899115)
;PID299;-20.151590388;118.53832962425;POINT (-20.151590388 118.53832962425)
Fremantle Port Limit;PID300;-32.07313799296262;115.69856767838004;POINT (-32.07313799296262 115.69856767838)
ESPERANCE;PID301;-33.86789683252573;121.9159050779227;POINT (-33.86789683252573 121.9159050779227)
;PID302;-20.066643026500003;118.57166692184498;POINT (-20.0666430265 118.571666921845)
Port of Geelong;PID303;-38.10173681471497;144.3941245576731;POINT (-38.10173681471497 144.3941245576731)
Port of Melbourne;PID304;-38.071089684963226;144.82712983817913;POINT (-38.07108968496323 144.8271298381791)
WESTERN PORT;PID305;-38.353505758568645;145.23108564550057;POINT (-38.35350575856864 145.2310856455006)
Port of Kimbe;PID306;-5.542384735308588;150.15259003965184;POINT (-5.542384735308588 150.1525900396518)
MELAKA HARBOUR LIMIT;PID307;2.1590065955;102.2391096808292;POINT (2.1590065955 102.2391096808292)
PELABUHAN SUNGAI UDANG;PID308;2.230430049;102.10673186833203;POINT (2.230430049 102.106731868332)
