OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR
TRID52;-0.287295096;53.5857673;91;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID53;-0.213253296;53.55008451;92;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID54;-0.099068352;53.46087752;93;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID55;0.17925745;53.37077846;94;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID56;0.230997502;53.38059123;95;TERMINAL;30;0.0;1;1;1;0;1;1;0
TRID57;-2.706477093;53.317087;96;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID58;-2.822446177;53.29389319;97;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID59;-2.941983541;53.29835354;98;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID60;-3.024946039;53.19933378;99;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID61;-3.063305044;53.19844171;100;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID62;-3.058844695;53.16543513;101;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID63;-3.069549533;53.19754964;102;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID64;-3.181058268;53.19487343;103;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID65;-3.295243212;53.3260077;104;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID66;-3.30684012;53.33938875;105;TERMINAL;30;0.0;1;1;1;0;1;1;0
TRID67;-1.096068925;53.76711316;106;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID68;-0.960512742;53.69526839;107;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID69;-0.857490043;53.66680159;108;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID70;-0.765311839;53.5990235;109;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID71;-0.731422793;53.53666765;110;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID72;-0.603999981;53.50548973;111;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID73;-0.468443798;53.5136231;112;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID74;-0.297643007;53.54480102;113;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
TRID75;-0.193264746;53.57462338;114;TRUNKLINE;40;0.0;0;1;1;0;1;1;0
