Column1;PORT_NAME;VID;coords
1627;Port of Lucinda;PID212;((146.43142871714522, -18.5175860995),)
1628;Port of Carnarvon;PID213;((113.35764655895589, -24.580881977),)
1629;Port of Carnarvon;PID214;((113.48906725185374, -25.4999930315),)
18020;4;PID215;((-76.2969433325, -13.775965897),)
18021;8;PID216;((-76.30444052600001, -13.762506698),)
1639;Port Pirie;PID217;((137.9025527776676, -33.031406867499996),)
1640;Port Lincoln Harbor;PID218;((136.025408527, -34.706288524499996),)
1641;Port of Port Lincoln;PID219;((136.00729316108664, -34.6569623235),)
1667;Aberdeen Harbour Board;PID220;((-2.028590501301319, 57.112778043),)
18062;;PID221;((-67.31254803948104, -45.809756219387054),)
1688;UGLEGORSK;PID222;((142.00770558588982, 49.076909045),)
1701;Istanbul Port;PID223;((28.568923923181156, 41.495800581),)
1706;Cesme Harbour;PID224;((26.270865697512896, 38.175228000000004),)
1707;Izmir Harbour;PID225;((26.371811286659266, 38.691519532),)
1708;Çesme Harbour;PID226;((26.580389077091652, 38.0875918915),)
1710;Finike Liman;PID227;((30.156250004, 36.153301815),)
1711;Kas Liman;PID228;((29.62768624825, 36.0331395635),)
1713;Samsun Harbour;PID229;((36.9867445782895, 41.3549263955),)
1716;Iskenderun Harbour;PID230;((35.766454477072074, 36.127655957),)
1717;Mersin Harbour;PID231;((35.5330183025, 36.235071304),)
1719;Tuzla Harbour;PID232;((29.194941930749998, 40.737094636500004),)
1720;Yalova Harbour;PID233;((28.8495987645, 40.637630908000006),)
1721;Ambarli Limani;PID234;((28.661559084980848, 40.759357492999996),)
1722;Marmara Adasi Harbour;PID235;((27.709976052752577, 40.7036100645),)
1723;Tekirdag Liman;PID236;((27.984844047314546, 40.731369084),)
1724;Silivri Harbour;PID237;((28.288976742750002, 40.7561484625),)
1725;Bandirma Harbour;PID238;((28.167632913365686, 40.6252867115),)
1726;Mudanya Harbour;PID239;((28.5246719835, 40.595846199),)
1729;Ambarli Harbour;PID240;((28.4994333605, 40.751668745),)
1730;Cide Harbour;PID241;((33.06167617918186, 42.0359076645),)
1731;Amasra Harbour;PID242;((32.59003148872536, 41.921355253499996),)
1732;Inebolu Harbour;PID243;((33.54664774149648, 42.136667864),)
1733;Sinop Harbour;PID244;((34.89522496492642, 42.105712909),)
1734;Ayancik Harbour;PID245;((34.509531771249996, 42.085768086499996),)
1735;Inebolu Harbour;PID246;((34.067425940999996, 42.029324979),)
1737;Sinop Harbour;PID247;((35.39746106356922, 42.0450956555),)
1739;Samsun Harbour;PID248;((35.724070504500006, 41.788274142),)
1741;Datça Harbour;PID249;((27.717565493000002, 36.832278007),)
1742;Marmaris Harbour;PID250;((28.151543394513006, 36.578604737),)
1746;Kas Harbour;PID251;((29.339626617, 36.158797452),)
1747;Fethiye Harbour;PID252;((29.19299986772893, 36.197461453),)
1749;Antalya Harbour;PID253;((30.935666877000003, 36.651099896000005),)
1752;Antalya Harbour;PID254;((31.086489753000002, 36.730321878),)
1753;Alanya Liman;PID255;((32.560133517389446, 36.0159857475),)
1754;Anamur Liman;PID256;((32.56513569860296, 36.016259374499995),)
1757;Tasucu Harbour;PID257;((34.08711111375, 36.304672029),)
1759;Gökçeada Harbour;PID258;((25.805680371764854, 39.991649868500005),)
1760;Bozcaada Harbour;PID259;((25.825988463499996, 39.929529071000005),)
1761;Izmir Liman;PID260;((26.37180426653352, 38.73283348),)
1762;Çesme Liman;PID261;((26.328729844124943, 38.7419989655),)
1766;Güllük Harbour;PID262;((27.24390107219089, 37.251888317500004),)
1767;Karasu Liman;PID263;((30.76579970697601, 41.233913799999996),)
1769;Karadeniz Eregli Liman;PID264;((31.48211623275, 41.4909409215),)
1770;Zonguldak Liman;PID265;((31.84590550616445, 41.5882008375),)
1771;Samsun Harbour;PID266;((36.262254640370074, 41.6022327305),)
1774;Vakfikebir Harbour;PID267;((39.29606238981586, 41.199279064),)
1776;Mersin Harbour;PID268;((33.29639483653277, 36.0375105165),)
18161;D;PID269;((35.00081710208279, 32.8942753275),)
1778;Kefken Liman;PID270;((30.125900499976254, 41.2977255225),)
18163;C;PID271;((35.011850691984634, 32.908098007999996),)
1780;Botas Harbour;PID272;((35.75705797842413, 36.6219695605),)
1781;Karatas Harbour;PID273;((35.445160502763265, 36.480309152000004),)
1782;;PID274;((144.27382831900002, 42.9723413005),)
1790;;PID275;((89.50023582024608, 21.569425854000002),)
1798;Marlborough Harbour;PID276;((174.11041478492564, -41.4323007495),)
1799;Marlborough Harbour;PID277;((174.23536774907558, -41.466939593),)
1807;Port Arkhangel'sk;PID278;((40.07244381953622, 65.054823495),)
1812;Lianyungang Gang;PID279;((119.92488383459992, 34.8721305135),)
18235;;PID280;((121.72018147725001, 25.1889933685),)
1858;Sharm el Sheikh Port;PID281;((34.34187318249195, 27.8583378385),)
1865;Port of Mumbai;PID282;((72.7326294075, 18.643041564500002),)
1869;Gangavaram Port;PID283;((83.22096386064027, 17.4411778615),)
1873;Port Of Rabaul;PID284;((152.18306060815712, -4.288795845999999),)
1876;Port of Daru;PID285;((143.44520194174999, -9.1062584005),)
1880;Port of Cape Preston;PID286;((116.17045228775, -20.736129562499997),)
18265;;PID287;((72.38899342225, 21.685414798),)
1881;Port of Geraldton;PID288;((114.50162478832966, -28.707957174500002),)
1901;;PID289;((115.74556946590998, 5.6393904280000005),)
1904;Pelabuhan Surabaya;PID290;((112.74708607817323, -6.748104994),)
1906;Istanbul;PID291;((29.083083006, 41.481810017),)
18291;;PID292;((118.5916753828572, -20.094975116500002),)
1908;;PID293;((100.62744456233213, 7.2495274495),)
18295;;PID294;((118.5116667065, -20.094979055499998),)
1912;Port of Port Latta;PID295;((145.43216145213472, -40.826970850500004),)
1914;Port of Townsville;PID296;((146.869299117195, -19.19539498630911),)
